"","ranking","power_index","state","sex"
"398",397,17.91,"MD","M"
"399",397,17.91,"MA","M"
"400",400,17.93,"MI","M"
"401",400,17.93,"GA","M"
"402",402,18.05,"AZ","M"
"403",403,18.06,"PA","M"
"404",404,18.1,"MI","M"
"405",405,18.12,"MO","M"
"406",406,18.14,"WI","M"
"407",407,18.15,"CO","M"
"408",408,18.17,"CA","M"
"409",409,18.21,"MD","M"
"410",410,18.24,"TX","M"
"411",411,18.25,"NC","M"
"412",412,18.26,"VA","M"
"413",413,18.27,"SA","M"
"414",413,18.27,"WI","M"
"415",415,18.3,"TX","M"
"416",416,18.31,"IN","M"
"417",417,18.32,"VA","M"
"418",418,18.33,"NC","M"
"419",418,18.33,"TX","M"
"420",420,18.37,"LA","M"
"421",421,18.38,"OH","M"
"422",421,18.38,"MA","M"
"423",423,18.42,"CA","M"
"424",424,18.43,"MD","M"
"425",424,18.43,"NM","M"
"426",426,18.44,"TX","M"
"427",427,18.45,"WI","M"
"428",428,18.48,"IN","M"
"429",429,18.54,"NE","M"
"430",429,18.54,"NC","M"
"431",431,18.61,"FL","M"
"432",431,18.61,"CO","M"
"433",433,18.63,"OR","M"
"434",434,18.64,"MD","M"
"435",435,18.68,"CT","M"
"436",436,18.69,"NE","M"
"437",437,18.7,"MN","M"
"438",438,18.76,"HI","M"
"439",439,18.77,"PA","M"
"440",440,18.78,"MD","M"
"441",441,18.84,"VA","M"
"442",441,18.84,"CA","M"
"443",443,18.86,"PA","M"
"444",444,18.88,"NC","M"
"445",445,18.92,"VA","M"
"446",446,18.95,"OH","M"
"447",447,19,"PA","M"
"448",448,19.03,"TX","M"
"449",449,19.06,"VA","M"
"450",449,19.06,"CT","M"
"451",451,19.07,"IL","M"
"452",451,19.07,"NC","M"
"453",451,19.07,"CA","M"
"454",454,19.08,"OH","M"
"455",454,19.08,"NY","M"
"456",456,19.13,"IL","M"
"457",457,19.15,"PA","M"
"458",458,19.17,"AZ","M"
"459",459,19.18,"LA","M"
"460",460,19.19,"SC","M"
"461",461,19.22,"WA","M"
"462",461,19.22,"IA","M"
"463",463,19.23,"CA","M"
"464",464,19.25,"WY","M"
"465",465,19.29,"CA","M"
"466",466,19.3,"NJ","M"
"467",467,19.31,"NY","M"
"468",468,19.33,"CA","M"
"469",469,19.35,"CO","M"
"470",470,19.36,"OR","M"
"471",470,19.36,"GA","M"
"472",472,19.37,"IN","M"
"473",473,19.38,"VA","M"
"474",474,19.47,"GA","M"
"475",475,19.48,"NC","M"
"476",475,19.48,"AK","M"
"477",477,19.5,"VA","M"
"478",478,19.53,"IN","M"
"479",479,19.54,"MS","M"
"480",480,19.56,"CO","M"
"481",481,19.59,"PA","M"
"482",482,19.61,"CO","M"
"483",483,19.67,"NC","M"
"484",483,19.67,"CA","M"
"485",485,19.74,"TX","M"
"486",486,19.75,"OH","M"
"487",487,19.76,"KY","M"
"488",487,19.76,"MD","M"
"489",489,19.86,"UT","M"
"490",490,19.88,"CA","M"
"491",491,19.9,"CA","M"
"492",492,19.92,"PA","M"
"493",492,19.92,"OR","M"
"494",494,19.94,"TN","M"
"495",494,19.94,"WA","M"
"496",496,19.95,"KY","M"
"497",497,19.96,"SC","M"
"498",497,19.96,"CT","M"
"499",499,19.97,"CA","M"
"500",500,19.99,"CA","M"
"501",501,20,"TN","M"
"502",501,20,"CT","M"
"503",503,20.04,"CO","M"
"504",504,20.05,"IN","M"
"505",505,20.06,"TX","M"
"506",506,20.07,"MD","M"
"507",507,20.1,"CA","M"
"508",508,20.12,"CA","M"
"509",508,20.12,"TX","M"
"510",510,20.15,"VA","M"
"511",510,20.15,"FL","M"
"512",512,20.22,"NJ","M"
"513",512,20.22,"CA","M"
"514",514,20.23,"CA","M"
"515",514,20.23,"FL","M"
"516",516,20.25,"SD","M"
"517",517,20.27,"NJ","M"
"518",517,20.27,"CA","M"
"519",519,20.28,"CA","M"
"520",520,20.34,"VA","M"
"521",521,20.35,"NJ","M"
"522",521,20.35,"CA","M"
"523",523,20.39,"TN","M"
"524",524,20.41,"MO","M"
"525",525,20.42,"TN","M"
"526",526,20.44,"CO","M"
"527",526,20.44,"OH","M"
"528",528,20.45,"VA","M"
"529",529,20.47,"CA","M"
"530",530,20.48,"CO","M"
"531",531,20.49,"AZ","M"
"532",532,20.5,"TX","M"
"533",532,20.5,"CO","M"
"534",534,20.51,"FL","M"
"535",534,20.51,"LA","M"
"536",536,20.54,"GA","M"
"537",537,20.56,"VA","M"
"538",537,20.56,"NY","M"
"539",539,20.58,"NJ","M"
"540",540,20.6,"CA","M"
"541",541,20.62,"CA","M"
"542",542,20.63,"CA","M"
"543",543,20.64,"NC","M"
"544",544,20.67,"NJ","M"
"545",545,20.69,"NJ","M"
"546",546,20.72,"OH","M"
"547",547,20.74,"TN","M"
"548",547,20.74,"KY","M"
"549",549,20.75,"CA","M"
"550",550,20.78,"WA","M"
"551",551,20.79,"CO","M"
"552",552,20.82,"OH","M"
"553",553,20.83,"IL","M"
"554",554,20.85,"GA","M"
"555",555,20.86,"PA","M"
"556",556,20.9,"TN","M"
"557",557,20.94,"WI","M"
"558",558,20.96,"WA","M"
"559",559,20.97,"IL","M"
"560",560,21,"CA","M"
"561",560,21,"CO","M"
"562",560,21,"UT","M"
"563",563,21.02,"MD","M"
"564",563,21.02,"OR","M"
"565",565,21.03,"TX","M"
"566",566,21.05,"CA","M"
"567",567,21.06,"SC","M"
"568",568,21.08,"CO","M"
"569",569,21.14,"CO","M"
"570",570,21.15,"FL","M"
"571",570,21.15,"CT","M"
"572",570,21.15,"NC","M"
"573",573,21.16,"CO","M"
"574",574,21.19,"WI","M"
"575",575,21.21,"NJ","M"
"576",575,21.21,"FL","M"
"577",577,21.27,"CA","M"
"578",578,21.28,"TX","M"
"579",579,21.33,"VT","M"
"580",579,21.33,"NE","M"
"581",579,21.33,"FL","M"
"582",582,21.34,"CA","M"
"583",583,21.36,"NC","M"
"584",583,21.36,"FL","M"
"585",583,21.36,"MI","M"
"586",586,21.37,"MT","M"
"587",587,21.38,"WA","M"
"588",588,21.41,"MI","M"
"589",589,21.44,"TX","M"
"590",590,21.46,"GA","M"
"591",591,21.47,"CA","M"
"592",592,21.48,"IN","M"
"593",593,21.52,"IN","M"
"594",594,21.53,"VA","M"
"595",594,21.53,"CA","M"
"596",594,21.53,"LA","M"
"597",594,21.53,"MD","M"
"598",598,21.54,"VA","M"
"599",599,21.55,"WA","M"
"600",599,21.55,"IL","M"
"601",601,21.57,"NC","M"
"602",602,21.58,"CO","M"
"603",603,21.61,"MO","M"
"604",604,21.62,"CA","M"
"605",605,21.64,"SD","M"
"606",606,21.67,"HI","M"
"607",606,21.67,"NJ","M"
"608",608,21.74,"VA","M"
"609",609,21.76,"NY","M"
"610",610,21.77,"IN","M"
"611",610,21.77,"MI","M"
"612",612,21.78,"NC","M"
"613",613,21.8,"VA","M"
"614",614,21.81,"NY","M"
"615",615,21.84,"NC","M"
"616",616,21.87,"PA","M"
"617",616,21.87,"VA","M"
"618",618,21.88,"CO","M"
"619",618,21.88,"VA","M"
"620",618,21.88,"CA","M"
"621",621,21.89,"FL","M"
"622",622,21.9,"TX","M"
"623",623,21.91,"VA","M"
"624",624,21.92,"NY","M"
"625",624,21.92,"NJ","M"
"626",624,21.92,"OH","M"
"627",627,21.96,"MI","M"
"628",627,21.96,"CO","M"
"629",629,21.97,"CA","M"
"630",630,21.99,"CA","M"
"631",631,22,"PA","M"
"632",632,22.02,"SC","M"
"633",633,22.04,"CA","M"
"634",633,22.04,"PA","M"
"635",633,22.04,"IL","M"
"636",636,22.05,"TX","M"
"637",637,22.07,"PA","M"
"638",638,22.08,"TX","M"
"639",639,22.1,"CA","M"
"640",640,22.12,"VA","M"
"641",641,22.19,"CO","M"
"642",642,22.24,"IL","M"
"643",643,22.26,"IN","M"
"644",643,22.26,"AZ","M"
"645",645,22.28,"NJ","M"
"646",646,22.31,"WI","M"
"647",646,22.31,"CA","M"
"648",648,22.32,"CT","M"
"649",649,22.34,"MD","M"
"650",650,22.35,"UT","M"
"651",651,22.37,"VA","M"
"652",651,22.37,"TX","M"
"653",653,22.38,"TX","M"
"654",654,22.39,"NJ","M"
"655",655,22.4,"NC","M"
"656",656,22.42,"FL","M"
"657",657,22.43,"CA","M"
"658",658,22.44,"MI","M"
"659",659,22.46,"NJ","M"
"660",659,22.46,"CO","M"
"661",659,22.46,"CA","M"
"662",662,22.48,"KY","M"
"663",662,22.48,"NY","M"
"664",664,22.52,"CA","M"
"665",664,22.52,"RI","M"
"666",664,22.52,"VA","M"
"667",664,22.52,"CA","M"
"668",668,22.54,"NV","M"
"669",668,22.54,"NV","M"
"670",670,22.57,"CA","M"
"671",670,22.57,"IL","M"
"672",672,22.62,"MD","M"
"673",673,22.64,"NY","M"
"674",674,22.67,"IN","M"
"675",675,22.68,"VA","M"
"676",676,22.71,"TX","M"
"677",677,22.72,"IA","M"
"678",678,22.75,"WI","M"
"679",679,22.8,"CA","M"
"680",679,22.8,"MO","M"
"681",681,22.83,"CA","M"
"682",682,22.85,"TX","M"
"683",682,22.85,"SC","M"
"684",684,22.86,"OR","M"
"685",685,22.87,"CA","M"
"686",686,22.88,"NJ","M"
"687",687,22.89,"DE","M"
"688",687,22.89,"MD","M"
"689",689,22.94,"MN","M"
"690",690,22.95,"PA","M"
"691",690,22.95,"NJ","M"
"692",692,22.96,"MN","M"
"693",693,23.02,"MO","M"
"694",694,23.03,"FL","M"
"695",695,23.06,"CO","M"
"696",695,23.06,"IA","M"
"697",697,23.08,"CO","M"
"698",698,23.09,"FL","M"
"699",699,23.16,"NC","M"
"700",700,23.17,"CA","M"
"701",700,23.17,"OH","M"
"702",702,23.19,"MO","M"
"703",703,23.2,"WI","M"
"704",703,23.2,"HI","M"
"705",705,23.27,"TX","M"
"706",706,23.28,"CT","M"
"707",707,23.35,"MI","M"
"708",708,23.37,"KS","M"
"709",708,23.37,"NS","M"
"710",710,23.4,"MO","M"
"711",711,23.43,"VA","M"
"712",711,23.43,"IL","M"
"713",713,23.46,"NY","M"
"714",714,23.49,"MA","M"
"715",714,23.49,"PA","M"
"716",716,23.5,"SC","M"
"717",716,23.5,"NE","M"
"718",716,23.5,"NC","M"
"719",719,23.51,"PA","M"
"720",720,23.52,"ID","M"
"721",721,23.53,"CA","M"
"722",722,23.55,"FL","M"
"723",723,23.56,"NY","M"
"724",724,23.6,"FL","M"
"725",725,23.61,"CA","M"
"726",725,23.61,"NY","M"
"727",727,23.63,"TX","M"
"728",727,23.63,"VA","M"
"729",729,23.67,"OH","M"
"730",730,23.69,"FL","M"
"731",730,23.69,"KY","M"
"732",732,23.7,"MI","M"
"733",733,23.71,"PA","M"
"734",734,23.72,"OH","M"
"735",735,23.77,"PA","M"
"736",736,23.82,"TX","M"
"737",737,23.86,"CA","M"
"738",737,23.86,"NC","M"
"739",739,23.87,"TX","M"
"740",739,23.87,"TX","M"
"741",741,23.88,"MN","M"
"742",741,23.88,"VT","M"
"743",743,23.89,"PA","M"
"744",744,23.9,"TN","M"
"745",744,23.9,"MO","M"
"746",746,23.95,"ME","M"
"747",747,23.96,"MO","M"
"748",748,23.97,"IA","M"
"749",749,23.99,"FL","M"
"750",750,24.01,"NC","M"
"751",750,24.01,"UT","M"
"752",752,24.04,"VA","M"
"753",753,24.06,"CA","M"
"754",754,24.07,"AZ","M"
"755",754,24.07,"IL","M"
"756",756,24.08,"PA","M"
"757",757,24.09,"CA","M"
"758",758,24.11,"MA","M"
"759",759,24.12,"IN","M"
"760",760,24.13,"MA","M"
"761",761,24.14,"NY","M"
"762",761,24.14,"NY","M"
"763",763,24.16,"TX","M"
"764",763,24.16,"MN","M"
"765",765,24.18,"TX","M"
"766",765,24.18,"CA","M"
"767",767,24.19,"PA","M"
"768",768,24.2,"TN","M"
"769",769,24.22,"NJ","M"
"770",770,24.27,"CA","M"
"771",770,24.27,"OH","M"
"772",770,24.27,"CA","M"
"773",773,24.31,"OH","M"
"774",773,24.31,"KY","M"
"775",775,24.32,"SC","M"
"776",775,24.32,"NJ","M"
"777",777,24.33,"AL","M"
"778",777,24.33,"NH","M"
"779",779,24.34,"MN","M"
"780",780,24.35,"KY","M"
"781",781,24.36,"CO","M"
"782",782,24.38,"TN","M"
"783",783,24.39,"CO","M"
"784",783,24.39,"CA","M"
"785",785,24.41,"TX","M"
"786",786,24.43,"CA","M"
"787",787,24.44,"NJ","M"
"788",788,24.45,"IL","M"
"789",789,24.49,"GA","M"
"790",790,24.54,"FL","M"
"791",791,24.55,"CT","M"
"792",792,24.56,"NJ","M"
"793",792,24.56,"MN","M"
"794",794,24.57,"NJ","M"
"795",795,24.65,"TX","M"
"796",796,24.66,"TX","M"
"797",797,24.67,"CA","M"
"798",797,24.67,"CA","M"
"799",797,24.67,"FL","M"
"800",800,24.68,"IN","M"
"801",801,24.7,"MD","M"
"802",801,24.7,"FL","M"
"803",801,24.7,"VA","M"
"804",804,24.71,"PA","M"
"805",805,24.73,"FL","M"
"806",806,24.78,"NC","M"
"807",807,24.79,"DE","M"
"808",808,24.81,"NC","M"
"809",808,24.81,"TX","M"
"810",810,24.82,"UT","M"
"811",811,24.83,"OH","M"
"812",812,24.92,"IL","M"
"813",812,24.92,"NC","M"
"814",814,24.94,"NY","M"
"815",815,24.95,"WA","M"
"816",815,24.95,"TX","M"
"817",817,24.99,"TX","M"
"818",818,25.02,"MD","M"
"819",819,25.03,"TX","M"
"820",820,25.08,"IA","M"
"821",821,25.09,"TN","M"
"822",822,25.11,"WA","M"
"823",823,25.13,"MI","M"
"824",824,25.19,"IN","M"
"825",825,25.21,"AZ","M"
"826",826,25.25,"VA","M"
"827",826,25.25,"CA","M"
"828",828,25.26,"WI","M"
"829",829,25.31,"MO","M"
"830",829,25.31,"WV","M"
"831",831,25.32,"VA","M"
"832",831,25.32,"PA","M"
"833",833,25.33,"OH","M"
"834",834,25.34,"CA","M"
"835",834,25.34,"PA","M"
"836",834,25.34,"FL","M"
"837",837,25.41,"MD","M"
"838",838,25.42,"CT","M"
"839",839,25.45,"MI","M"
"840",840,25.48,"CA","M"
"841",840,25.48,"CA","M"
"842",842,25.49,"TN","M"
"843",843,25.5,"KY","M"
"844",844,25.52,"MI","M"
"845",845,25.53,"TX","M"
"846",846,25.54,"CA","M"
"847",846,25.54,"KY","M"
"848",848,25.56,"MT","M"
"849",848,25.56,"IL","M"
"850",850,25.59,"TX","M"
"851",850,25.59,"IN","M"
"852",852,25.61,"TN","M"
"853",853,25.63,"CA","M"
"854",854,25.64,"MO","M"
"855",854,25.64,"PA","M"
"856",856,25.67,"HI","M"
"857",857,25.7,"PA","M"
"858",857,25.7,"NJ","M"
"859",859,25.71,"NJ","M"
"860",860,25.74,"NJ","M"
"861",860,25.74,"VA","M"
"862",860,25.74,"TX","M"
"863",860,25.74,"WY","M"
"864",864,25.75,"AL","M"
"865",864,25.75,"CT","M"
"866",866,25.76,"PA","M"
"867",867,25.79,"LA","M"
"868",868,25.8,"TX","M"
"869",869,25.81,"NM","M"
"870",869,25.81,"CO","M"
