"endTime","artistName","trackName","msPlayed"
"2023-11-07 04:54","Drake","Circo Loco",1068
"2023-11-07 04:57","Travis Scott","I KNOW ?",211582
"2023-11-07 05:02","Lil Uzi Vert","Patience (feat. Don Toliver)",262429
"2023-11-07 05:04","Drake","Amen (feat. Teezo Touchdown)",141212
"2023-11-07 05:07","ARTAN","She's A 10 But...",165428
"2023-11-07 05:09","Drake","Drew A Picasso",143961
"2023-11-07 14:52","Drake","Drew A Picasso",118804
"2023-11-07 14:56","Bad Bunny","MERCEDES CAROTA",158336
"2023-11-07 14:57","Jack Harlow","Like A Blade Of Grass",41261
"2023-11-07 14:59","Drake","BBL Love - Interlude",161363
"2023-11-07 15:01","Erik Satie","Gymnopédie No. 1",93741
"2023-11-07 15:02","GROOVY","jersey luv",64992
"2023-11-07 15:04","Drake","Bahamas Promises",121997
"2023-11-07 15:06","Drake","Amen (feat. Teezo Touchdown)",141212
"2023-11-07 15:11","Drake","Calling For You (feat. 21 Savage)",285630
"2023-11-07 15:14","Jack Harlow","Ambitious",172609
"2023-11-07 20:59","half•alive","Subliminal",6803
"2023-11-07 20:59","Kendrick Lamar","DNA.",104854
"2023-11-07 21:08","Tyga","Brand New",1718
"2023-11-07 21:08","Brent Faiyaz","WY@",1439
"2023-11-07 21:08","Drake","IDGAF (feat. Yeat)",260111
"2023-11-07 21:08","Travis Scott","TIL FURTHER NOTICE (feat. James Blake & 21 Savage)",2795
"2023-11-07 21:10","Lil Yachty","The Secret Recipe",49504
"2023-11-07 21:12","Baby Keem","The Hillbillies",166022
"2023-11-07 21:12","Travis Scott","CIRCUS MAXIMUS (feat. The Weeknd & Swae Lee)",4295
"2023-11-07 21:45","Offset","JEALOUSY (feat. Cardi B)",174333
"2023-11-07 21:47","Travis Scott","TELEKINESIS (feat. SZA & Future)",4318
"2023-11-07 21:47","Young Thug","Want Me Dead (feat. 21 Savage)",3065
"2023-11-07 21:47","Offset","BROAD DAY (feat. Future)",14791
"2023-11-07 21:47","Drake","Search & Rescue",1068
"2023-11-07 21:47","Lil Yachty","Slide",3529
"2023-11-07 21:47","JID","Van Gogh (feat. Lil Yachty)",2670
"2023-11-07 21:47","Toosii","Pull Up (feat. 21 Savage)",1532
"2023-11-07 21:47","Lyrical Lemonade","Doomsday (with Juice WRLD & Cordae)",86205
"2023-11-07 21:48","Lil Tecca","Dead or Alive",52012
"2023-11-07 21:50","Quavo","Patty Cake (feat. Takeoff)",133289
"2023-11-07 22:45","Drake","Gently (feat. Bad Bunny)",133694
"2023-11-07 22:49","Quavo","Turn Yo Clic Up (feat. Future)",230835
"2023-11-07 22:49","Lil Uzi Vert","Flooded The Face",31813
"2023-11-07 22:53","Lil Uzi Vert","Patience (feat. Don Toliver)",202408
"2023-11-08 01:43","Drake","7969 Santa",2063
"2023-11-08 01:43","Drake","7969 Santa",258043
"2023-11-08 01:43","Jack Harlow","State Fair",0
"2023-11-08 01:47","Drake","Virginia Beach",251094
"2023-11-08 01:50","Travis Scott","THANK GOD",184888
"2023-11-08 01:54","Rod Wave","Turks & Caicos (feat. 21 Savage)",203345
"2023-11-08 02:35","Travis Scott","SKITZO (feat. Young Thug)",285809
"2023-11-08 03:09","Drake","Calling For You (feat. 21 Savage)",219451
"2023-11-08 03:10","Playboi Carti","Flex",49853
"2023-11-08 03:10","Lil Uzi Vert","Suicide Doors",2391
"2023-11-08 03:12","Lil Uzi Vert","Crush Em",99404
"2023-11-08 03:14","Travis Scott","ASTROTHUNDER",142969
"2023-11-08 03:18","Tyler, The Creator","SORRY NOT SORRY",206049
"2023-11-08 03:21","Lil Uzi Vert","x2",173010
"2023-11-08 03:22","Playboi Carti","Long Time - Intro",89536
"2023-11-08 03:24","Lil Uzi Vert","Zoom (Bonus Track)",27190
"2023-11-08 03:24","Yeat","bigger thën everything",80805
"2023-11-08 14:55","Baby Keem","Baby Keem",127863
"2023-11-08 14:56","Ethereal","Beef",29346
"2023-11-08 14:59","Drake","Polar Opposites",197183
"2023-11-08 14:59","Drake","All The Parties (feat. Chief Keef)",928
"2023-11-08 15:03","Teezo Touchdown","UUHH",209053
"2023-11-08 15:05","Jack Harlow","Like A Blade Of Grass",126217
"2023-11-08 15:08","21 Savage","Rich Nigga Shit (feat. Young Thug)",190331
"2023-11-08 15:08","Drake","Time Flies",4007
"2023-11-08 23:19","Bad Bunny","TELEFONO NUEVO",608094
"2023-11-08 23:23","Travis Scott","HYAENA",222085
"2023-11-08 23:26","Jack Harlow","I'd Do Anything To Make You Smile",193765
"2023-11-08 23:28","Young Thug","Hellcat Kenny (feat. Lil Uzi Vert)",154466
"2023-11-08 23:30","Jack Harlow","Common Ground",100424
"2023-11-09 00:31","Offset","Ric Flair Drip (with Metro Boomin)",172800
"2023-11-09 00:33","Jack Harlow","They Don't Love It",12818
"2023-11-09 00:34","Baby Keem","HONEST",50503
"2023-11-09 00:35","Lil Tecca","HVN ON EARTH (with Kodak Black)",83429
"2023-11-09 00:40","Baby Keem","family ties (with Kendrick Lamar)",252262
"2023-11-09 00:40","Metro Boomin","Umbrella (with 21 Savage & Young Nudy)",2053
"2023-11-09 00:42","Offset","SAY MY GRACE (feat. Travis Scott)",139668
"2023-11-09 00:44","Lil Uzi Vert","Patience (feat. Don Toliver)",141432
"2023-11-09 00:44","Drake","Fear Of Heights",2252
"2023-11-09 03:57","Gunna","fukumean",43444
"2023-11-09 03:59","Gunna","fukumean",81844
"2023-11-09 03:59","JID","Surround Sound (feat. 21 Savage & Baby Tate)",1927
"2023-11-09 03:59","Jack Harlow","Poison (feat. Lil Wayne)",835
"2023-11-09 03:59","Kendrick Lamar","DNA.",905
"2023-11-09 03:59","Jack Harlow","Denver",1044
"2023-11-09 03:59","Jack Harlow","I'd Do Anything To Make You Smile",998
"2023-11-09 03:59","Jacob Koller","City Of Stars",21472
"2023-11-09 04:20","21 Savage","Rich Nigga Shit (feat. Young Thug)",952
"2023-11-09 04:20","Kendrick Lamar","ELEMENT.",2577
"2023-11-09 04:20","Drake","Calling For You (feat. 21 Savage)",282354
"2023-11-09 04:25","Travis Scott","MY EYES",331444
"2023-11-09 04:56","Jack Harlow","Young Harleezy",136169
"2023-11-09 05:00","Lil Uzi Vert","Patience (feat. Don Toliver)",262429
"2023-11-09 05:05","Drake","Drew A Picasso",262768
"2023-11-09 05:08","Rod Wave","Turks & Caicos (feat. 21 Savage)",203345
"2023-11-09 05:14","Bad Bunny","TELEFONO NUEVO",354784
"2023-11-09 05:17","ARTAN","She's A 10 But...",165428
"2023-11-09 14:48","Twenty One Pilots","Heavydirtysoul",2453
"2023-11-09 14:48","Twenty One Pilots","Hometown",2026
"2023-11-09 14:48","Twenty One Pilots","Ode to Sleep",383
"2023-11-09 14:48","Twenty One Pilots","Ode to Sleep",1514
"2023-11-09 14:48","Twenty One Pilots","Levitate",533
"2023-11-09 14:48","Twenty One Pilots","Ride",874
"2023-11-09 14:48","Twenty One Pilots","Neon Gravestones",725
"2023-11-09 14:48","Twenty One Pilots","Lane Boy",640
"2023-11-09 14:48","Twenty One Pilots","Jumpsuit",960
"2023-11-09 14:48","Twenty One Pilots","Message Man",1983
"2023-11-09 14:48","Twenty One Pilots","Smithereens",704
"2023-11-09 14:48","Twenty One Pilots","My Blood",725
"2023-11-09 14:48","Unknown Artist","Unknown Track",149
"2023-11-09 14:48","Unknown Artist","Unknown Track",938
"2023-11-09 14:48","Unknown Artist","Unknown Track",213
